John, Doe, 2008-01-08T23:00:00Z, 471-78-1234, 12345, 338, 372885, 84082, 2018-06-06T22:00:00Z, 5, 1.1426348277943714
John, Doe, 1976-09-01T22:00:00Z, 471-78-1234, 12345, 491, 77427, 1067564, 2017-05-15T22:00:00Z, 3, 1.0304895703095842
John, Doe, 2009-10-03T22:00:00Z, 471-78-1234, 12345, 683, 186464, 1331387, 2021-10-25T22:00:00Z, 6, 1.4849658048528815
John, Doe, 1977-06-27T22:00:00Z, 471-78-1234, 12345, 840, 4780, 1388512, 2020-08-11T22:00:00Z, 30, 1.4212881658581764
John, Doe, 1990-03-13T23:00:00Z, 471-78-1234, 12345, 735, 398408, 938482, 2021-05-10T22:00:00Z, 20, 1.8231488053295828
John, Doe, 1996-02-28T23:00:00Z, 471-78-1234, 12345, 478, 225520, 968862, 2019-10-10T22:00:00Z, 23, 1.3250932465979353
John, Doe, 1928-02-14T00:00:00Z, 471-78-1234, 12345, 540, 88075, 564323, 2021-02-16T23:00:00Z, 30, 1.9309011932864504
John, Doe, 1929-04-01T00:00:00Z, 471-78-1234, 12345, 586, 135781, 646897, 2019-08-14T22:00:00Z, 16, 1.0448115569033383
John, Doe, 1935-08-31T23:00:00Z, 471-78-1234, 12345, 591, 344986, 458340, 2021-11-01T23:00:00Z, 12, 1.1809176935467818
John, Doe, 1967-09-04T23:00:00Z, 471-78-1234, 12345, 541, 223598, 1448544, 2021-09-02T22:00:00Z, 27, 1.2482854252486104
John, Doe, 1968-03-12T23:00:00Z, 471-78-1234, 12345, 708, 259161, 352618, 2017-09-08T22:00:00Z, 2, 1.185322700584465
John, Doe, 1934-05-12T23:00:00Z, 471-78-1234, 12345, 414, 30737, 1123520, 2021-10-11T22:00:00Z, 26, 1.9366566313110432
John, Doe, 2002-01-09T23:00:00Z, 471-78-1234, 12345, 409, 146240, 37022, 2019-03-10T23:00:00Z, 29, 1.3292501881820653
John, Doe, 1988-02-19T23:00:00Z, 471-78-1234, 12345, 355, 245405, 1201335, 2021-09-25T22:00:00Z, 29, 1.3117169752380273
John, Doe, 1901-08-06T23:50:39Z, 471-78-1234, 12345, 397, 24580, 384851, 2020-08-12T22:00:00Z, 30, 1.2717697476790903
