borrower.FirstName , borrower.LastName , borrower.BirthDate , borrower.SSN , ZipCode , borrower.CreditScore , borrower.YearlyIncome , loan.Amount , loan.StartDate , loan.Duration , loanToValue , report.isApproved , report.isValidData , report.isInsuranceRequired , report.getMonthlyRepayment , report.getInsuranceRate , report.getMessages 
John,  Doe, 1957-08-08T23:00:00Z, 471-78-1234, 12345, 661, 281922, 216011, 2020-06-27T22:00:00Z, 1, 1.8969862867509564, false, true, false, 72664.70635510926, 0.0, [ The loan amount is under the maximum authorized, Average risk loan, Too big Debt/Income ratio: 3.09, We are sorry. Your loan has not been approved]
John,  Doe, 1964-03-19T23:00:00Z, 471-78-1234, 12345, 306, 109595, 1215686, 2017-11-17T23:00:00Z, 2, 1.667459283313463, false, false, false, 0.0, 0.0, [The loan cannot exceed 1000000]
John,  Doe, 1930-04-29T23:00:00Z, 471-78-1234, 12345, 337, 324067, 533825, 2017-08-04T22:00:00Z, 2, 1.5082614443463591, false, true, false, 39454.07382721914, 0.0, [ The loan amount is under the maximum authorized, Risky loan, Too big Debt/Income ratio: 1.46, We are sorry. Your loan has not been approved]
John,  Doe, 1927-01-24T00:00:00Z, 471-78-1234, 12345, 533, 295663, 27656, 2017-09-11T22:00:00Z, 1, 1.4703220938059025, true, true, true, 4683.556488385456, 0.02, [ The loan amount is under the maximum authorized, Average risk loan, Congratulations! Your loan has been approved]
John,  Doe, 1971-11-06T23:00:00Z, 471-78-1234, 12345, 535, 23242, 1193943, 2018-12-02T23:00:00Z, 1, 1.7536195703256245, false, false, false, 0.0, 0.0, [The loan cannot exceed 1000000]
John,  Doe, 1956-01-14T23:00:00Z, 471-78-1234, 12345, 359, 826, 627412, 2020-09-02T22:00:00Z, 2, 1.3158502471350644, false, true, false, 27666.14382148853, 0.0, [ The loan amount is under the maximum authorized, Very risky loan, Too big Debt/Income ratio: 401.93, We are sorry. Your loan has not been approved]
John,  Doe, 1930-02-03T00:00:00Z, 471-78-1234, 12345, 526, 389251, 58532, 2020-07-18T22:00:00Z, 2, 1.759426597948063, true, true, true, 2687.1838208677386, 0.02, [ The loan amount is under the maximum authorized, Average risk loan, Congratulations! Your loan has been approved]
John,  Doe, 1902-05-18T23:50:39Z, 471-78-1234, 12345, 607, 90049, 784014, 2019-04-20T22:00:00Z, 2, 1.2752159913297678, false, true, false, 57945.1060508095, 0.0, [ The loan amount is under the maximum authorized, Risky loan, Too big Debt/Income ratio: 7.72, We are sorry. Your loan has not been approved]
John,  Doe, 1900-04-29T23:50:39Z, 471-78-1234, 12345, 644, 309772, 515805, 2017-03-09T23:00:00Z, 1, 1.359908664097319, false, true, false, 259676.93102655216, 0.0, [ The loan amount is under the maximum authorized, Average risk loan, Too big Debt/Income ratio: 10.06, We are sorry. Your loan has not been approved]
John,  Doe, 1946-04-24T23:00:00Z, 471-78-1234, 12345, 467, 31511, 152374, 2021-10-17T22:00:00Z, 2, 1.3061298758224718, false, true, false, 6719.031511439841, 0.0, [ The loan amount is under the maximum authorized, Risky loan, Too big Debt/Income ratio: 2.56, We are sorry. Your loan has not been approved]
